Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
129,AMBQ,Technology,Semiconductors,NYSE,188.57,97,98,47,25,70.28,1702792641.9203491,21375754.0,0.048600003,-18.01,406372,662867,721518,0.593
130,AMPG,Technology,Communication Equipment,NASDAQ,187.78,97,97,15,72,5.41,111997493.51319695,25338799.0,0.0794,-4.18,2500380,3902956,5601938,0.486
131,INNV,Healthcare,Medical Care Facilities,NASDAQ,187.11,97,94,95,88,11.56,1030239243.5817299,135736393.0,0.0467,8.14,301917,418339,371345,0.155
132,BFLY,Healthcare,Medical Devices,NYSE,186.92,97,98,95,94,6.58,1190466172.2040424,261640906.0,0.122200005,15.03,8233752,10998674,8373736,0.25
133,DK,Energy,Oil & Gas Refining & Marketing,NYSE,186.66,97,88,94,84,63.2,2727908391.5508957,61287542.0,0.1295,27.68,1186737,1221215,1176839,0.004
134,HPE,Technology,Communication Equipment,S&P 500,186.44,97,95,84,51,47.69,57107801205.3312,1326854089.0,0.0581,6.99,16093081,21690047,28896302,0.184
135,KLIC,Technology,Semiconductor Equipment & Materials,S&P 600,185.06,97,97,96,90,106.08,5332196805.588547,52332877.0,0.036,-3.46,761270,1196913,1061914,0.498
136,CIEN,Technology,Communication Equipment,S&P 500,184.86,97,98,99,97,390.96,82043606536.52197,141398427.0,0.0505,-35.44,1893340,2724560,2856610,0.331
137,URGN,Healthcare,Biotechnology,NASDAQ,184.39,97,95,84,79,40.97,1370541408.2411213,48721701.0,0.1417,26.57,765150,753023,729160,1.516
138,GLBS,Industrials,Marine Shipping,NASDAQ,184.23,97,95,93,87,3.01,43812070.412525415,21582301.0,0.013200001,23.36,130435,200538,169815,0.548
139,GH,Healthcare,Diagnostics & Research,NASDAQ,183.65,97,95,79,95,147.33,17196885115.740295,132599929.0,0.1017,9.97,1760766,2969985,2778623,0.483
