Ticker,Name,Sector,Industry,Universe,Volume,AverageVolume10days,MACDV_12_26_9,MACDV_H_12_26_9,MACDV_H_12_26_9_TrendUp,MACDV_50_200,OTT Uptrend,OTT Ratio,ATR_20,Signal,USI,USI Diff,USI crossed zero,Num shares,Close
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,S&P 500,2721200,2109890.0,-63.87620924923474,-67.4802062289956,False,-130.5175903551556,False,0.9903279821268972,2.1054278631012266,None,-0.4785635407779666,-0.11310648676384805,False,47,73.91999816894531
SAFE,"Safehold, Inc.",Real Estate,Other Specialized REITs,S&P 600,330300,349950.0,-39.98829501411438,-22.204432500600035,False,-131.2173057153386,True,1.0141697746063794,0.44960073000993367,None,-0.2002577291635512,-0.028951823451678155,False,222,14.779999732971191
CTKB,"Cytek Biosciences, Inc.",Health Care,Health Care Equipment,S&P 600,916100,833340.0,-0.30960319823371335,17.876615907942934,False,-132.503644199192,True,1.0068388374403197,0.2106839290206276,None,0.0035906687835997883,-0.016449012843040244,False,474,3.8499999046325684
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,S&P 600,734500,641580.0,-40.55183692708081,-2.8170047508157836,False,-132.6715515487053,True,1.0006607811065658,1.1710505223879495,None,-0.12580283024488884,0.0035687840339375942,False,85,33.119998931884766
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,S&P 600,393300,437480.0,-36.01813910899775,-2.4354068088787244,False,-132.94909135037304,False,0.9810900549467507,0.9933571394127059,None,-0.16169010521814756,-0.07059795759665716,False,100,44.45000076293945
FOUR,Shift4,Financials,Transaction & Payment Processing Services,S&P 400,1821400,2215960.0,-94.49924495157791,5.092857520858274,False,-133.29207413146617,False,0.9815770487733962,2.83859051185728,None,-0.41877142244635257,0.03780814095023183,False,35,77.2300033569336
MRK,Merck & Co.,Health Care,Pharmaceuticals,S&P 500,11223700,14833800.0,72.70269213056906,22.3353950450443,False,-133.9580083099405,True,1.0237511929853245,2.0312458007376946,None,0.22277184301390335,-0.04600912057861989,False,49,85.98999786376953
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,S&P 500,1645200,1855500.0,-61.02764861474114,-25.67568848433646,False,-135.07040324592782,False,0.9772499753173641,1.0458870040570434,None,-0.2615218120670531,-0.031278202315019626,False,95,61.66999816894531
DAR,Darling Ingredients,Consumer Staples,Agricultural Products & Services,S&P 400,1827000,1983110.0,-33.14690515306486,-3.9509450865304707,False,-135.14265768746654,False,0.9810165013319522,1.1359054273919567,None,-0.08777112004889187,-0.01972683811748377,False,88,30.100000381469727
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,S&P 500,3585500,5447960.0,48.52680435865173,25.151356292999246,False,-137.76846786174045,True,1.0085010409165216,5.46633565694501,None,0.14376627835671021,-0.050622646440567326,False,18,202.4600067138672
ASTH,"Astrana Health, Inc.",Health Care,Health Care Facilities,S&P 600,238600,288950.0,17.610980189181387,9.728102918572025,False,-138.08922571018923,True,1.0197634873896422,1.3317575445176921,None,0.10128741873011834,0.01891333177034396,False,75,29.110000610351562
OMCL,Omnicell,Health Care,Health Care Technology,S&P 600,372500,309090.0,-32.57997374799745,-2.132568275764992,False,-138.49461568167382,True,1.0042298304263457,0.9998106832531979,None,-0.13333679375040874,-0.004381123327607261,False,100,29.719999313354492
CNH,CNH Industrial,Industrials,Agricultural & Farm Machinery,S&P 400,12543100,9953030.0,-94.95248119754375,-3.6381918949042387,False,-138.87585968677604,False,0.97194091169456,0.2828518149897759,None,-0.3674300556074128,-0.07771439585821804,False,353,10.100000381469727
GPN,Global Payments,Financials,Transaction & Payment Processing Services,S&P 500,2361900,2101000.0,7.810730964279706,-5.575568802504364,False,-139.6424981212222,True,1.0191475802611807,2.3317390911442386,None,0.038962881797111305,-0.049293988958251066,False,42,82.8499984741211
